[2025-11-09T14:42:27.743Z] [INFO] 🚀 Starting Apple Documentation Crawler
[2025-11-09T14:44:15.450Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/technologyoverviews/documentation_technologyoverviews_adopting-liquid-glass.pdf
[2025-11-09T14:44:15.459Z] [INFO] 📄 [53/5000] depth=1 [swiftui] https://developer.apple.com/documentation/SwiftUI/Landmarks-Building-an-app-with-Liquid-Glass
[2025-11-09T14:44:17.351Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/swiftui/documentation_swiftui_landmarks-building-an-app-with-liquid-glass.pdf
[2025-11-09T14:44:17.356Z] [INFO] 📄 [54/5000] depth=1 [xcode] https://developer.apple.com/documentation/Xcode/writing-code-with-intelligence-in-xcode
[2025-11-09T14:44:19.633Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/xcode/documentation_xcode_writing-code-with-intelligence-in-xcode.pdf
[2025-11-09T14:44:19.641Z] [INFO] 📄 [55/5000] depth=1 [foundationmodels] https://developer.apple.com/documentation/FoundationModels/improving-the-safety-of-generative-model-output
[2025-11-09T14:44:21.710Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/foundationmodels/documentation_foundationmodels_improving-the-safety-of-generative-model-output.pdf
[2025-11-09T14:44:21.716Z] [INFO] 📄 [56/5000] depth=1 [foundationmodels] https://developer.apple.com/documentation/FoundationModels/generating-content-and-performing-tasks-with-foundation-models
[2025-11-09T14:44:23.516Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/foundationmodels/documentation_foundationmodels_generating-content-and-performing-tasks-with-foundation-models.pdf
[2025-11-09T14:44:23.521Z] [INFO] 📄 [57/5000] depth=1 [updates] https://developer.apple.com/documentation/Updates
[2025-11-09T14:44:25.085Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/updates/documentation_updates.pdf
[2025-11-09T14:44:25.092Z] [INFO] 📄 [58/5000] depth=1 [samplecode] https://developer.apple.com/documentation/SampleCode
[2025-11-09T14:44:28.157Z] [INFO]    ♻️  Updated page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/samplecode/documentation_samplecode.pdf
[2025-11-09T14:44:28.168Z] [INFO] 📄 [59/5000] depth=1 [xcode] https://developer.apple.com/documentation/Xcode/creating-your-app-icon-using-icon-composer
[2025-11-09T14:44:30.401Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/xcode/documentation_xcode_creating-your-app-icon-using-icon-composer.pdf
[2025-11-09T14:44:30.406Z] [INFO] 📄 [60/5000] depth=1 [activitykit] https://developer.apple.com/documentation/ActivityKit/launching-your-app-from-a-live-activity
[2025-11-09T14:44:31.864Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/activitykit/documentation_activitykit_launching-your-app-from-a-live-activity.pdf
[2025-11-09T14:44:31.870Z] [INFO] 📄 [61/5000] depth=1 [avfoundation] https://developer.apple.com/documentation/AVFoundation/observing-playback-state-in-swiftui
[2025-11-09T14:44:34.447Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/avfoundation/documentation_avfoundation_observing-playback-state-in-swiftui.pdf
[2025-11-09T14:44:34.453Z] [INFO] 📄 [62/5000] depth=1 [swiftdata] https://developer.apple.com/documentation/SwiftData/Adopting-inheritance-in-SwiftData
[2025-11-09T14:44:37.193Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/swiftdata/documentation_swiftdata_adopting-inheritance-in-swiftdata.pdf
[2025-11-09T14:44:37.202Z] [INFO] 📄 [63/5000] depth=1 [backgroundtasks] https://developer.apple.com/documentation/BackgroundTasks/performing-long-running-tasks-on-ios-and-ipados
[2025-11-09T14:44:39.788Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/backgroundtasks/documentation_backgroundtasks_performing-long-running-tasks-on-ios-and-ipados.pdf
[2025-11-09T14:44:39.793Z] [INFO] 📄 [64/5000] depth=1 [xcuiautomation] https://developer.apple.com/documentation/XCUIAutomation/recording-ui-automation-for-testing
[2025-11-09T14:44:42.180Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/xcuiautomation/documentation_xcuiautomation_recording-ui-automation-for-testing.pdf
[2025-11-09T14:44:42.185Z] [INFO] 📄 [65/5000] depth=1 [xcode] https://developer.apple.com/documentation/Xcode/running-code-snippets-using-the-playground-macro
[2025-11-09T14:44:45.489Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/xcode/documentation_xcode_running-code-snippets-using-the-playground-macro.pdf
[2025-11-09T14:44:45.496Z] [INFO] 📄 [66/5000] depth=1 [bundleresources] https://developer.apple.com/documentation/BundleResources/managing-your-app-s-information-property-list
[2025-11-09T14:44:48.877Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/bundleresources/documentation_bundleresources_managing-your-app-s-information-property-list.pdf
[2025-11-09T14:44:48.882Z] [INFO] 📄 [67/5000] depth=1 [technologyoverviews] https://developer.apple.com/documentation/TechnologyOverviews/ai-machine-learning
[2025-11-09T14:44:50.799Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/technologyoverviews/documentation_technologyoverviews_ai-machine-learning.pdf
[2025-11-09T14:44:50.807Z] [INFO] 📄 [68/5000] depth=1 [foundationmodels] https://developer.apple.com/documentation/FoundationModels
[2025-11-09T14:44:52.927Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/foundationmodels/documentation_foundationmodels.pdf
[2025-11-09T14:44:52.932Z] [INFO] 📄 [69/5000] depth=1 [foundationmodels] https://developer.apple.com/documentation/FoundationModels/loading-and-using-a-custom-adapter-with-foundation-models
